#timestamp x y z q_x q_y q_z q_w
1627807316.799791 0.000000000000000 0.000000000000000 0.000000000000000 0.000000000000000 0.000000000000000 0.000000000000000 1.000000000000000
1627807316.900435 -0.000088940263548 -0.000103479441172 0.000039865815337 -0.000065602474672 0.000038937337969 0.000001706159498 0.999999997088644
1627807317.000258 0.003818638195570 0.003062453693769 -0.003284818328924 0.000546799427888 0.000012488195281 0.000117477585628 0.999999843526712
1627807317.100100 -0.000384248429743 0.010868863426388 0.001713799979235 0.000067935854184 0.000041370526334 -0.000230820915360 0.999999970197452
1627807317.199945 0.000469364981263 0.008443299921072 0.003647213804942 0.000195982131478 0.000111378180620 -0.000047032693728 0.999999973486915
1627807317.299491 -0.001974966040032 0.009096884213721 0.001614094301696 0.000255078179573 0.000120270571928 -0.000086870539501 0.999999956461810
1627807317.398229 -0.002398929918445 0.011573967035788 0.000497257617316 0.000246616189616 0.000123485683204 -0.000143244215263 0.999999951706417
1627807317.497004 -0.002664941114623 0.005962550428885 0.003015739795839 -0.000001733038463 0.000161168236581 -0.000091803142683 0.999999982796990
1627807317.600075 -0.002543538965182 0.000642106375688 0.007007600710858 0.000116492322513 0.000169526533521 0.000010504594448 0.999999978789974
1627807317.699919 -0.001599143121033 0.000132031992332 0.011876295791472 0.000131648877913 0.000295526181049 0.000080593741903 0.999999944418749
1627807317.800163 0.000780347820761 0.007581616087403 0.006325403373195 0.000040248723770 0.000171853638461 -0.000149986263654 0.999999973175245
1627807317.900000 0.002293886934882 0.009262574727375 0.006971908076662 0.000287641802434 0.000166899176377 -0.000047103836836 0.999999943594044
1627807317.999826 0.001897484368633 0.010685064972691 0.004150824532111 0.000278673727500 0.000252613654631 -0.000113036580728 0.999999922875012
1627807318.100475 0.001860027767441 0.008285557941577 0.002057412312273 0.000176976606312 0.000150155494836 -0.000103969839017 0.999999967661442
1627807318.200315 0.000138933578994 0.006670080242254 0.005595110483326 0.000224249747363 0.000189982622698 -0.000117599641245 0.999999949894490
1627807318.300148 -0.001193916846176 0.008458820354422 0.005375811498428 0.000035213840252 0.000241728932328 -0.000177633358858 0.999999954386750
1627807318.399987 -0.001150441406893 0.007102602857109 0.005876303891968 0.000285417882258 0.000219558843943 -0.000074071804774 0.999999932421957
1627807318.499823 -0.001233933069749 0.006932800119513 0.006593782995636 0.000042301776627 0.000168868903757 -0.000143636551059 0.999999974531199
1627807318.599298 -0.001690221878316 0.006350063801652 0.006468701915306 0.000266503556855 0.000270785201859 -0.000010477951877 0.999999927770720
1627807318.698034 -0.002366464709578 0.002570162627194 0.006337805291534 0.000034754905331 0.000228967004460 -0.000062196726553 0.999999971248889
1627807318.796901 -0.002348802928198 0.002443534572225 0.009227382738210 0.000080008495428 0.000231750201691 -0.000006044659341 0.999999969926974
1627807318.900005 -0.001050622774901 0.004826004669434 0.009930012536966 0.000235251313163 0.000255962802070 -0.000021062245758 0.999999939348122
1627807318.999861 -0.001232639781100 0.007534462215281 0.009827468774067 0.000173631507743 0.000253650541427 -0.000125376931028 0.999999944897064
1627807319.100498 -0.000643779429545 0.009074197555599 0.009795742750207 0.000183813145111 0.000250659373339 -0.000104478300569 0.999999946233446
1627807319.200335 0.000435140291782 0.011259265772739 0.004056101111121 0.000276850687443 0.000197799634483 -0.000167293530864 0.999999928120938
1627807319.300164 0.001130008601334 0.011921842052456 0.004330867502783 0.000160428157928 0.000182239651273 -0.000189453647184 0.999999952579417
1627807319.400002 0.001423427618777 0.011049633165917 0.004308802956920 0.000273398038370 0.000227333521544 -0.000153469510932 0.999999925010045
